"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2213,153.5,126,13108,"Inside","1Story",5,5,1951,1951,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Fa","Y",1226,0,1226,0,0,1,1,2,"TA",7,1,"Attchd",2,400,"TA","TA",174,24,120,228
767,103.6,54,6629,"Inside","2Story",6,6,1925,1950,"TA","Gd","BrkTil","TA","TA","BLQ",551,121,672,"GasA","TA","N",697,672,1369,1,0,2,0,3,"TA",6,0,"Detchd",1,300,"TA","TA",147,0,0,0
1749,215,59,11796,"Inside","2Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","Unf",0,847,847,"GasA","Ex","Y",847,1112,1959,0,0,2,1,4,"Gd",8,1,"BuiltIn",2,434,"TA","TA",100,48,0,0
2728,225,81,15593,"Corner","1.5Fin",7,4,1953,1953,"Gd","TA","CBlock","TA","TA","BLQ",603,701,1304,"GasW","TA","Y",1304,983,2287,0,0,2,0,3,"TA",7,1,"Attchd",2,667,"TA","TA",0,21,114,0
915,155,60,7200,"Inside","2Story",7,9,1936,2007,"Gd","Gd","PConc","Gd","Gd","ALQ",350,0,560,"GasA","Ex","Y",575,560,1135,1,0,1,0,3,"Gd",6,0,"Detchd",2,576,"TA","TA",256,0,0,0
867,313,0,11050,"Inside","2Story",9,5,2000,2000,"Gd","TA","PConc","Ex","TA","GLQ",904,536,1440,"GasA","Ex","Y",1476,677,2153,1,0,2,1,3,"Ex",8,2,"Attchd",3,736,"TA","TA",253,142,0,0
643,131,53,8128,"CulDSac","1Story",6,7,1954,1954,"TA","TA","CBlock","TA","TA","ALQ",490,572,1062,"GasA","Gd","Y",1062,0,1062,1,0,1,0,3,"TA",6,0,"Attchd",1,297,"TA","TA",0,0,0,0
1594,124,0,4224,"Inside","1Story",5,6,1975,1975,"TA","TA","PConc","Gd","TA","GLQ",769,271,1040,"GasA","Gd","Y",1040,0,1040,0,0,1,0,3,"TA",6,0,"Attchd",2,499,"TA","TA",0,100,0,0
1564,300,0,23730,"Inside","1Story",7,5,1996,1997,"Gd","TA","PConc","Ex","TA","GLQ",700,1140,1840,"GasA","Ex","Y",2032,0,2032,1,0,3,0,3,"Gd",7,0,"Attchd",3,786,"TA","TA",0,46,192,0
1855,255,80,12000,"Inside","1Story",7,6,1980,1980,"Gd","TA","CBlock","Gd","TA","GLQ",1732,270,2002,"GasA","Ex","Y",2362,0,2362,1,0,2,1,3,"Gd",8,1,"Attchd",2,546,"Gd","TA",180,16,0,0
2350,207.5,79,10240,"Inside","1Story",6,6,1980,1980,"TA","Gd","CBlock","Gd","TA","BLQ",625,0,1686,"GasA","TA","Y",1686,0,1686,1,0,2,0,3,"TA",7,1,"Attchd",2,612,"TA","TA",384,131,0,0
882,190,63,8487,"FR2","1Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",20,1480,1500,"GasA","Ex","Y",1500,0,1500,0,0,2,0,3,"Gd",6,0,"Attchd",2,570,"TA","TA",192,36,0,0
857,136.5,0,7000,"CulDSac","1Story",5,8,1978,2005,"Gd","Gd","CBlock","TA","TA","ALQ",646,218,864,"GasA","Ex","Y",864,0,864,1,0,1,0,3,"TA",6,0,"Attchd",1,336,"TA","TA",0,0,0,0
2557,79.9,52,5825,"Inside","1Story",4,5,1926,1953,"TA","Gd","PConc","Fa","TA","Unf",0,600,600,"GasA","Gd","Y",747,0,747,0,0,1,0,1,"TA",5,0,"Detchd",2,528,"TA","TA",0,0,32,0
2024,165,60,8850,"Inside","1.5Fin",6,7,1920,1950,"TA","Gd","PConc","TA","TA","Unf",0,768,768,"GasA","Ex","Y",752,624,1376,0,0,1,0,3,"Gd",7,0,"Detchd",2,576,"TA","TA",0,54,144,0
340,285,76,9892,"Inside","1Story",8,5,1994,1995,"Gd","Gd","PConc","Gd","Gd","GLQ",1341,54,1679,"GasA","Ex","Y",1803,0,1803,1,1,2,1,3,"Gd",6,2,"Attchd",2,482,"TA","TA",129,64,222,0
2427,156.82,43,3010,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",16,1126,1142,"GasA","Ex","Y",1142,0,1142,0,0,2,0,2,"Gd",6,0,"Attchd",2,440,"TA","TA",90,0,0,0
2796,230,0,8125,"Inside","1Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",986,668,1654,"GasA","Ex","Y",1654,0,1654,1,0,2,0,3,"Gd",6,0,"Attchd",3,900,"TA","TA",0,136,0,0
1944,135,60,9600,"Inside","1.5Unf",5,7,1949,2003,"TA","TA","CBlock","TA","TA","ALQ",220,625,845,"GasA","TA","Y",893,0,893,0,1,1,0,2,"Gd",4,0,"Detchd",2,576,"TA","TA",0,0,0,0
636,155,66,12400,"Inside","1Story",6,7,1958,1998,"TA","TA","CBlock","TA","Fa","Rec",585,630,1215,"GasA","TA","Y",1215,0,1215,0,0,1,0,3,"TA",6,0,"Attchd",1,297,"TA","TA",0,0,0,234
1420,260,0,9771,"Corner","2Story",6,5,1995,2002,"Gd","TA","PConc","Gd","TA","LwQ",779,298,1077,"GasA","Ex","Y",1093,1721,2814,0,1,2,1,4,"Gd",9,1,"BuiltIn",2,614,"TA","TA",48,32,0,216
1343,123,52,6240,"Inside","1.5Fin",4,7,1929,1950,"TA","TA","PConc","TA","TA","BLQ",80,624,704,"GasA","Ex","Y",624,512,1136,0,1,1,0,2,"TA",6,0,"Detchd",1,336,"TA","TA",0,365,80,0
1158,290,0,9205,"Inside","2Story",6,5,1990,1991,"Gd","TA","PConc","Gd","TA","ALQ",704,226,930,"GasA","Ex","Y",1364,1319,2683,1,0,2,1,4,"Gd",9,2,"Attchd",2,473,"TA","TA",237,251,0,196
401,97,70,10500,"FR2","1Story",4,6,1971,1971,"TA","TA","CBlock","TA","TA","ALQ",524,160,864,"GasA","Gd","Y",864,0,864,0,0,1,0,2,"TA",4,0,"Detchd",2,576,"TA","TA",216,0,0,0
1737,181.134,73,8899,"Inside","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",24,1316,1340,"GasA","Ex","Y",1340,0,1340,0,0,2,0,3,"Gd",6,0,"Attchd",2,396,"TA","TA",100,30,0,0
1775,330,82,9044,"Inside","2Story",8,5,1996,1997,"Gd","Gd","PConc","Gd","TA","GLQ",1225,100,1325,"GasA","Ex","Y",1335,1203,2538,0,0,2,1,4,"Gd",8,1,"Attchd",3,933,"TA","TA",198,92,0,0
2005,110,76,11800,"Inside","SLvl",4,7,1949,2002,"TA","TA","Slab","None","None","None",0,0,0,"GasA","Ex","Y",1382,0,1382,0,0,2,0,1,"TA",6,1,"Attchd",1,384,"TA","TA",0,40,0,0
2203,141.5,53,6720,"Inside","2Story",6,7,1921,1950,"TA","TA","BrkTil","TA","TA","Unf",0,585,585,"GasA","TA","N",851,585,1436,0,0,1,0,3,"TA",7,1,"Detchd",1,228,"TA","TA",184,0,0,0
1368,79.9,60,5586,"Inside","1.5Fin",6,7,1920,1998,"TA","TA","BrkTil","TA","TA","Unf",0,901,901,"GasA","Gd","Y",1088,110,1198,0,0,1,0,4,"TA",7,0,"None",0,0,"None","None",0,98,0,0
965,213.5,125,14419,"Corner","SLvl",7,5,1987,1989,"TA","TA","PConc","Gd","TA","GLQ",904,117,1645,"GasA","Ex","Y",1479,0,1479,2,0,2,1,3,"Gd",7,1,"Attchd",2,578,"TA","TA",224,238,0,0
1702,500.067,59,17169,"CulDSac","1Story",10,5,2007,2007,"Ex","TA","PConc","Ex","TA","GLQ",1684,636,2320,"GasA","Ex","Y",2290,0,2290,2,0,2,1,2,"Ex",7,1,"Attchd",3,1174,"TA","TA",192,30,0,0
938,315,0,17597,"Inside","1Story",7,9,1971,2009,"Gd","Gd","CBlock","Gd","TA","GLQ",803,581,1803,"GasA","TA","Y",2365,0,2365,1,0,2,0,3,"Ex",7,2,"Attchd",2,551,"TA","TA",200,144,0,0
1675,177,26,10943,"FR2","1Story",6,5,1997,1998,"Gd","TA","PConc","Gd","TA","GLQ",930,475,1405,"GasA","Ex","Y",1337,0,1337,1,0,2,0,2,"Gd",5,1,"Attchd",2,522,"TA","TA",0,68,0,0
1750,206.58,59,10936,"Inside","1Story",7,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1510,1510,"GasA","Ex","Y",1525,0,1525,0,0,2,1,3,"Gd",6,1,"Attchd",2,534,"TA","TA",100,18,0,0
2841,116,45,8248,"Inside","1.5Fin",5,7,1918,1950,"TA","TA","BrkTil","TA","TA","Unf",0,686,686,"GasW","Gd","Y",686,564,1250,0,1,1,1,3,"Fa",7,0,"Detchd",1,280,"TA","TA",207,0,96,0
707,93,50,6000,"Inside","1.5Fin",5,4,1954,1954,"TA","TA","CBlock","TA","TA","Unf",0,811,811,"GasA","TA","Y",811,576,1387,0,0,2,0,3,"Gd",7,0,"BuiltIn",1,256,"TA","TA",0,0,0,0
1970,187,80,9760,"Inside","2Story",6,8,1964,1993,"TA","TA","CBlock","TA","TA","BLQ",536,169,822,"GasA","Gd","Y",1020,831,1851,0,0,2,1,3,"Gd",7,1,"Attchd",2,440,"TA","TA",239,42,0,0
305,68.4,60,7500,"Inside","1.5Fin",4,4,1920,1950,"TA","Gd","CBlock","TA","TA","Unf",0,698,698,"GasA","TA","Y",698,430,1128,0,0,1,0,2,"TA",6,0,"Detchd",2,528,"TA","TA",30,0,164,0
2710,164.5,96,11777,"Inside","SLvl",5,6,1966,1966,"TA","TA","CBlock","TA","TA","LwQ",328,285,1164,"GasA","Ex","Y",1320,0,1320,1,0,1,0,3,"TA",6,2,"Attchd",2,564,"TA","TA",160,68,240,0
1360,93.85,0,6291,"Inside","1Story",6,6,1930,1950,"Gd","Gd","BrkTil","TA","TA","Unf",0,768,768,"GasA","TA","Y",768,0,768,0,0,1,0,1,"TA",4,0,"Detchd",2,440,"TA","TA",0,0,84,0
947,251,75,10125,"Inside","2Story",8,5,2000,2001,"Gd","TA","PConc","Gd","TA","ALQ",445,412,1107,"GasA","Ex","Y",1040,1012,2052,0,0,2,1,3,"Gd",7,1,"BuiltIn",3,642,"TA","TA",210,91,0,0
2493,133.5,0,8638,"Inside","1Story",5,6,1963,1963,"TA","TA","PConc","TA","TA","ALQ",181,744,925,"GasA","Gd","Y",925,0,925,1,0,1,0,2,"TA",5,0,"Detchd",2,484,"TA","TA",203,74,0,0
659,109.5,52,9022,"Inside","1Story",5,8,1924,2006,"Gd","TA","BrkTil","TA","TA","Unf",0,768,768,"GasA","Ex","Y",792,0,792,0,0,1,0,2,"Gd",5,0,"Detchd",1,240,"Fa","Fa",316,0,120,0
677,92.9,60,8544,"Corner","1Story",3,4,1950,1950,"TA","TA","Slab","None","None","None",0,0,0,"Wall","Fa","N",1040,0,1040,0,0,2,0,2,"TA",6,0,"Detchd",2,400,"TA","TA",0,0,0,0
1985,85,50,5925,"Inside","1.5Fin",4,6,1900,1950,"TA","TA","BrkTil","Fa","TA","LwQ",122,0,570,"GasA","Gd","N",761,380,1141,0,0,1,0,3,"TA",6,0,"Detchd",1,252,"Fa","Fa",0,0,96,0
1684,129.25,65,7150,"Inside","1Story",5,6,1966,1966,"TA","TA","CBlock","TA","TA","BLQ",725,263,988,"GasA","TA","Y",988,0,988,1,0,1,0,3,"TA",5,0,"Detchd",1,360,"TA","TA",0,0,0,0
1308,139.5,69,9142,"Inside","2Story",5,5,1900,2006,"TA","Fa","BrkTil","Fa","TA","Unf",0,797,797,"GasA","TA","N",830,797,1627,0,0,2,0,4,"TA",10,0,"Detchd",2,420,"Fa","Po",192,0,60,0
414,137.9,24,2349,"Inside","2Story",6,5,1977,1977,"TA","TA","CBlock","Gd","TA","ALQ",389,466,855,"GasA","TA","Y",855,601,1456,0,0,2,1,3,"TA",6,1,"Attchd",2,440,"TA","TA",0,28,0,0
1080,207,59,8198,"FR3","1Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",720,638,1358,"GasA","Ex","Y",1358,0,1358,1,0,2,0,2,"Gd",6,1,"Attchd",2,484,"TA","TA",192,30,0,0
2927,131,0,8885,"Inside","1Story",5,5,1983,1983,"TA","TA","CBlock","Gd","TA","BLQ",301,239,864,"GasA","TA","Y",902,0,902,1,0,1,0,2,"TA",5,0,"Attchd",2,484,"TA","TA",164,0,0,0
2066,158,99,16779,"Inside","2Story",5,4,1920,1996,"TA","Fa","CBlock","Gd","TA","BLQ",267,404,671,"GasA","Fa","Y",1567,1087,2654,0,0,3,0,4,"TA",11,1,"Attchd",2,638,"TA","TA",128,570,0,0
1431,200,79,12798,"Inside","2Story",6,5,1997,1997,"TA","TA","PConc","Gd","TA","GLQ",462,154,616,"GasA","Gd","Y",616,1072,1688,1,0,2,1,4,"Gd",8,0,"Attchd",2,603,"TA","TA",403,114,185,0
2836,107,62,8707,"FR2","1.5Fin",4,5,1924,1950,"TA","TA","BrkTil","TA","TA","Unf",0,1093,1093,"GasA","TA","N",1093,576,1669,0,0,1,1,4,"TA",9,0,"Attchd",1,288,"Fa","TA",0,0,56,0
1423,229,85,10541,"Corner","SLvl",7,5,1996,1996,"Gd","TA","PConc","Gd","TA","Unf",0,672,672,"GasA","Ex","Y",1302,735,2037,0,0,2,1,3,"Gd",8,1,"Attchd",2,472,"TA","TA",100,33,0,0
1503,118,92,12108,"Inside","1Story",4,4,1955,1955,"TA","TA","CBlock","TA","TA","ALQ",133,1307,1440,"GasA","TA","N",1440,0,1440,0,0,2,0,4,"Fa",8,0,"None",0,0,"None","None",0,0,0,0
2499,260,100,14330,"Corner","SLvl",7,4,1974,1974,"Gd","Fa","CBlock","Gd","TA","ALQ",1023,228,1748,"GasA","Gd","Y",2151,495,2646,1,2,2,0,3,"Gd",9,4,"Attchd",2,550,"TA","TA",641,100,0,0
2231,315,70,18044,"CulDSac","1Story",8,5,1986,1986,"Gd","TA","CBlock","Gd","TA","Unf",0,279,279,"GasA","Gd","Y",2726,0,2726,0,0,2,1,2,"Gd",6,1,"Attchd",2,691,"Gd","Gd",216,64,169,0
429,335,96,11308,"Inside","2Story",9,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",936,168,1104,"GasA","Ex","Y",1130,1054,2184,1,0,2,1,3,"Ex",10,1,"Attchd",3,836,"TA","TA",0,102,0,0
2123,175,57,10021,"Inside","2Story",6,6,1997,2006,"TA","Gd","PConc","Gd","TA","GLQ",539,96,635,"GasA","Ex","Y",646,662,1308,1,0,2,1,3,"Gd",6,0,"Attchd",2,497,"TA","TA",142,54,0,0
2506,197,37,3316,"Inside","1Story",8,5,2005,2005,"Gd","TA","PConc","Gd","TA","GLQ",1039,208,1247,"GasA","Ex","Y",1247,0,1247,1,0,1,1,1,"Gd",4,1,"Attchd",2,550,"TA","TA",0,84,0,0
133,153,80,9600,"Inside","SLvl",6,6,1955,1972,"TA","TA","CBlock","TA","TA","BLQ",674,350,1156,"GasA","Ex","Y",1520,0,1520,1,0,1,0,3,"TA",7,2,"Basment",1,364,"TA","TA",0,0,189,0
2688,129,60,9873,"Inside","1Story",4,5,1970,1970,"TA","TA","CBlock","TA","TA","ALQ",789,171,960,"GasW","TA","N",960,0,960,1,0,1,0,3,"TA",6,0,"Detchd",2,576,"TA","TA",0,288,0,0
1856,194,0,16157,"FR2","SLvl",5,7,1978,1978,"TA","TA","PConc","Gd","TA","ALQ",680,289,1360,"GasA","Ex","Y",1432,0,1432,1,0,1,1,2,"Gd",5,1,"Attchd",2,588,"TA","TA",168,180,0,0
1167,172.9,24,2280,"Inside","2Story",6,5,1999,1999,"TA","TA","PConc","Gd","TA","GLQ",550,194,744,"GasA","Gd","Y",757,792,1549,1,0,2,1,3,"TA",6,0,"Detchd",2,440,"TA","TA",0,32,0,0
2030,117,40,5680,"Inside","1.5Fin",5,3,1901,1950,"TA","TA","CBlock","TA","TA","Unf",0,969,969,"GasA","TA","N",969,245,1214,0,0,1,0,2,"TA",6,0,"Detchd",1,216,"TA","TA",0,0,77,0
2566,119,0,8917,"Inside","1Story",5,5,1967,1967,"TA","TA","CBlock","TA","TA","Unf",0,1584,1584,"GasA","TA","Y",1584,0,1584,0,0,2,0,4,"TA",8,0,"Detchd",2,506,"TA","TA",0,0,0,0
34,149.9,24,2280,"FR2","2Story",6,6,1975,1975,"TA","TA","CBlock","TA","TA","ALQ",514,341,855,"GasA","TA","Y",855,601,1456,0,0,2,1,3,"Gd",6,1,"Attchd",2,440,"TA","TA",173,0,0,0
2359,155,80,10000,"Inside","1Story",6,6,1974,1974,"TA","TA","CBlock","TA","TA","ALQ",755,348,1103,"GasA","TA","Y",1103,0,1103,0,0,2,0,3,"TA",6,0,"Attchd",2,462,"TA","TA",295,84,0,0
2849,128,58,6430,"Corner","1.5Fin",6,6,1945,1950,"TA","TA","CBlock","TA","TA","BLQ",780,0,780,"GasA","TA","N",816,524,1340,1,0,1,0,3,"TA",6,0,"Attchd",1,440,"TA","TA",0,0,0,0
1639,155,195,41600,"FR2","1Story",5,5,1969,1990,"TA","TA","CBlock","Gd","TA","ALQ",1047,53,1100,"GasW","TA","Y",1424,0,1424,1,0,1,1,3,"TA",7,0,"2Types",3,828,"TA","TA",144,0,0,0
2022,200,47,7755,"Inside","2Story",6,8,1918,1995,"TA","Gd","CBlock","TA","TA","Unf",0,1100,1100,"GasA","Ex","Y",1100,1164,2264,0,0,2,1,4,"TA",8,0,"Detchd",1,408,"TA","TA",0,152,0,0
2186,111,75,10215,"Inside","1Story",4,5,1954,1954,"TA","TA","PConc","TA","TA","ALQ",492,372,864,"GasA","Ex","Y",948,0,948,0,0,1,0,3,"TA",5,0,"Attchd",1,248,"TA","TA",0,0,0,0
2847,140,60,8400,"Inside","1.5Fin",6,5,1940,2000,"TA","TA","CBlock","TA","TA","LwQ",388,552,940,"GasA","Ex","Y",1192,403,1595,0,0,1,0,2,"TA",6,2,"Attchd",1,240,"TA","TA",0,0,108,0
1330,79.5,50,9100,"Inside","1Story",5,6,1930,1960,"TA","TA","BrkTil","TA","TA","Unf",0,742,742,"GasA","TA","Y",779,0,935,0,0,1,0,2,"TA",4,0,"Detchd",1,308,"TA","TA",0,0,0,0
1886,124,74,7450,"Inside","1Story",5,5,1956,1956,"TA","TA","CBlock","TA","TA","Rec",438,250,894,"GasA","Gd","Y",1074,0,1074,0,0,1,0,2,"Gd",6,1,"Detchd",2,396,"TA","TA",0,72,0,0
2419,185.101,75,9073,"Inside","2Story",7,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,738,738,"GasA","Ex","Y",738,754,1492,0,0,2,1,3,"Gd",8,0,"Attchd",2,440,"TA","TA",100,32,0,0
166,160,87,10000,"Corner","1Story",6,6,1962,1962,"TA","TA","CBlock","TA","TA","Unf",0,1116,1116,"GasA","TA","Y",1116,0,1116,0,0,1,1,3,"TA",5,0,"Attchd",2,440,"TA","TA",0,0,0,385
1895,147,0,11382,"Inside","1Story",6,5,1964,1964,"TA","TA","CBlock","TA","TA","ALQ",54,533,1130,"GasA","TA","Y",1374,0,1374,0,1,1,0,3,"TA",7,1,"Attchd",1,286,"TA","TA",0,28,84,0
1798,270,75,9000,"Inside","2Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1088,1088,"GasA","Ex","Y",1088,871,1959,0,0,2,1,3,"Gd",8,1,"Attchd",3,1025,"TA","TA",208,46,0,0
846,200,70,8750,"Inside","2Story",6,5,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",606,322,928,"GasA","Ex","Y",928,844,1772,1,0,2,1,3,"TA",7,1,"Attchd",2,492,"TA","TA",150,96,0,0
1757,170,76,9967,"Inside","SLvl",7,5,2000,2000,"TA","TA","PConc","Gd","TA","Unf",0,384,384,"GasA","Ex","Y",774,656,1430,0,0,2,1,3,"TA",8,1,"BuiltIn",2,400,"TA","TA",100,0,0,0
51,175.5,36,2628,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,764,764,"GasA","Ex","Y",764,862,1626,0,0,2,1,2,"Gd",6,0,"BuiltIn",2,474,"TA","TA",0,27,0,0
2900,312.5,85,14331,"Inside","1Story",8,5,2002,2002,"Gd","TA","PConc","Ex","TA","GLQ",1274,526,1800,"GasA","Ex","Y",1800,0,1800,1,0,2,0,3,"Gd",7,1,"Attchd",3,765,"TA","TA",270,78,0,0
439,335,87,10367,"Inside","1Story",9,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",1015,724,1739,"GasA","Ex","Y",1743,0,1743,1,0,2,0,3,"Ex",8,1,"Attchd",3,927,"TA","TA",168,45,0,0
400,124.5,70,8120,"Inside","1Story",4,7,1970,1970,"TA","Gd","CBlock","TA","TA","ALQ",191,673,864,"GasA","Ex","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Detchd",2,463,"TA","TA",0,0,0,0
515,252.678,72,8640,"Inside","2Story",7,5,2009,2009,"TA","TA","PConc","Gd","TA","GLQ",822,78,900,"GasA","Ex","Y",932,920,1852,1,0,2,1,3,"Gd",7,1,"Attchd",2,644,"TA","TA",168,108,0,0
101,177.5,0,2117,"Inside","2Story",6,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",378,378,756,"GasA","Ex","Y",769,804,1573,0,0,2,1,3,"Gd",5,0,"Detchd",2,440,"TA","TA",0,32,0,0
660,125,60,10230,"Inside","1Story",5,7,1925,1950,"TA","TA","BrkTil","TA","TA","Unf",0,1054,1054,"GasA","Ex","Y",1078,0,1078,0,0,1,0,3,"Ex",6,0,"Detchd",1,264,"TA","TA",0,0,0,112
294,257.5,78,10452,"Inside","1.5Fin",7,6,1941,1985,"Gd","Gd","BrkTil","Gd","TA","ALQ",426,850,1528,"GasA","Ex","Y",1225,908,2133,1,0,1,1,4,"TA",8,2,"Attchd",1,312,"TA","TA",0,0,86,0
954,173,0,9947,"CulDSac","SLvl",7,5,1990,1991,"TA","TA","PConc","Gd","TA","GLQ",611,577,1188,"GasA","Ex","Y",1217,0,1217,1,0,2,0,3,"Gd",6,0,"Attchd",2,497,"TA","TA",168,27,0,0
2575,132,70,8400,"Corner","1Story",5,5,1957,1957,"TA","TA","CBlock","Fa","TA","BLQ",623,556,1179,"GasA","Gd","Y",1364,0,1364,0,0,1,1,3,"TA",6,1,"Attchd",1,331,"TA","TA",0,60,0,0
